id,email,message,emailed_ok,created_at
d730f1cc-7d84-479b-8cbc-6bbf08c477e3,oketchloyd67@gmail.com,Ytuhdthijgfujj,f,2026-08-16 11:55:25.052657+00
0997aac7-9aca-4e1c-a321-8f1b8de5acb3,oketchloyd67@gmail.com,The site is great,f,2026-08-19 18:47:16.875419+00
fc2c2d08-23b4-414e-9275-bf270dec422c,oketchloyd67@gmail.com,The site is so great.,f,2026-08-19 19:13:18.727226+00
570195ad-e140-415e-b7df-7d8c366e1210,oketchloyd67@gmail.com,The website is awesome.,f,2026-08-19 19:33:52.65817+00
37ff4117-6a4d-48f9-afa5-f8909767ca8f,oketchloyd67@gmail.com,The website is so great.,f,2026-08-19 20:03:38.55213+00
346893fc-8025-4a99-8dc6-40c75137ae91,test@example.com,This is a test message,t,2026-08-19 20:19:01.364615+00
445b76e9-7b35-4910-b005-e13b7e02deaa,oketchloyd67@gmail.com,The website is so great.,f,2026-08-19 20:23:11.531203+00
abe9257d-8c5d-4178-bb0f-f8ec4b1b4f39,oketchloyd67@gmail.com,The website is so great.,f,2026-08-19 20:23:12.35485+00
f5e21d10-4480-476b-bcde-b11b5b3aa2c3,oketchloyd67@gmail.com,The website is  so great.,f,2026-08-19 20:25:36.721586+00
1b5b3266-e6b5-4af7-a416-86760acf9853,oketchloyd67@gmail.com,The website is  so great.,f,2026-08-19 20:26:02.103927+00
76a452f2-a0a2-45ce-be6f-1687d456a9eb,oketchloyd67@gmail.com,The website is  so great.,f,2026-08-19 20:27:07.021712+00
d8402ec0-b372-4893-9926-d837343786bc,oketchloyd67@gmail.com,The website is  so great.,f,2026-08-19 20:27:33.735447+00
11f28d24-016e-416a-9ee5-21025df2c09a,test@example.com,This is a test message,t,2026-08-19 20:38:53.399261+00
60ae33ea-5ed8-42dd-bb07-d646532b9462,test@example.com,This is a test message,t,2026-08-19 20:40:54.260146+00
ea7e5576-6cd3-4bb0-96dc-f5d4c52dfa1e,test@example.com,This is a test message,f,2026-08-19 20:44:21.972001+00
8b4a9625-c2be-4c8b-bf95-66dd16d6abc3,oketchloyd67@gmail.com,The website is so great.,f,2026-08-19 20:49:52.120864+00
fd9f2440-76a7-43a9-a2ca-b0bbd6e9be5c,oketchloyd67@gmail.com,The website is so great.,f,2026-08-19 20:49:57.603317+00
579657bf-d52e-45a6-b163-c62aaf00becb,oketchloyd67@gmail.com,The website is so great.,f,2026-08-19 20:49:59.17052+00
721f0d91-ad8f-493d-86c7-07032077acd2,test@example.com,This is a test message,f,2026-08-19 20:55:56.119177+00
0f5d197d-cdbe-4341-809d-a370273cc3ae,test@example.com,This is a test message,t,2026-08-19 21:07:35.58627+00
fe079402-01ec-4a3d-bb72-1c0dde3406f8,oketchloyd67@gmail.com,The website is so great.,f,2026-08-19 21:09:29.448481+00
e0a736d7-9edb-4b6f-a607-1d9a4353a428,oketchloyd67@gmail.com,The website is so great.,f,2026-08-19 21:09:54.346933+00
4fdfdba0-f58a-45d8-8225-e457687c313b,test@example.com,This is a test message,t,2026-08-19 21:14:22.988445+00
b3e27300-11fa-4204-be4a-6dd44e528d16,oketchcloyd67@gmail.com,The website is so great.,f,2026-08-19 21:17:33.791123+00
82535cad-d575-40d7-b705-643e27adeb7d,oketchcloyd67@gmail.com,The website is so great.,f,2026-08-19 21:17:43.367988+00
a810b168-f473-4e88-a658-b122af189cad,oketchcloyd67@gmail.com,The website is so great.,f,2026-08-19 21:17:57.218374+00
1196961b-21e7-4268-96cd-e3958b1d0ec6,oketchloyd67@gmail.com,The website is so great.,f,2026-08-19 21:26:24.12598+00
272eb4e9-46bc-4217-aa46-56dca75fe097,oketchloyd67@gmail.com,The website is so great.,f,2026-08-19 21:26:40.764622+00
31629b53-8736-4541-926b-872ca8ca8eca,test@example.com,This is a test message,f,2026-08-19 21:33:31.587797+00
1233731e-c17f-46c3-a7f0-451aae79e692,test@example.com,This is a test message,f,2026-08-19 21:34:19.620277+00
9d3f6338-35ce-46e3-a1f8-d6295d13b7db,oketchloyd67@gmail.com,The website is great.,f,2026-08-19 21:55:08.35048+00
7b56fc9c-d6f2-42f1-a728-ad7745dd9950,oketchloyd67@gmail.com,The website is great.,f,2026-08-19 21:55:12.669449+00
